lambda,n_snapshots,iterations,function_evaluations,optimizer_success,optimizer_message,gradient_inf_norm,rmse_vol_pts,wrmse_vol_pts,max_abs_err_vol_pts,mean_scaled_step,mean_squared_scaled_step
0.0,103,4811,5001,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.302060485268635e-07,1.1361077691310852,0.22915056035639025,7.710215041004265,0.2848902610059389,0.9212885141114501
0.01,103,2894,3016,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0344185217020885e-08,1.107501917285831,0.229696521599647,7.67350478179698,0.06826539882276059,0.04361706580430931
0.1,103,2689,2813,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.345287144992099e-08,1.097818565768159,0.23130728741341408,7.483858970940433,0.04691370400206897,0.020466660511502456
1.0,103,2068,2139,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.2959921573239943e-07,1.3086498201304644,0.2395157697197328,6.737959288533374,0.0327717673027896,0.010420517178576026
10.0,103,15000,15884,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,3.980774718771686e-05,3.6513473915400136,0.2850236231234622,35.41522121501468,0.008394329129094604,0.0007322503276998821
